Symptom1,Symptom2,Symptom3,Disease,Safety Measures,Diet,Prescription
Fever,Chest pain,Headache,"Infection (e.g., flu, COVID-19)",Avoid public places if symptomatic,Eat antioxidant-rich foods,"Eye drops, Antibiotics"
Chest pain,Sweating,High fever,Pneumonia or pulmonary embolism,"Rest, avoid physical exertion","Stay hydrated, avoid cold foods","NSAIDs, Disease-modifying antirheumatic drugs (DMARDs)"
Blood in phlegm,Bloating,Vomiting,Bronchitis or lung infection,Maintain healthy environment,"Eat hydrating foods, increase water intake","Immunosuppressants, Anti-inflammatory drugs"
Vomiting,Sweating,Congestion,Gastroenteritis or food poisoning,Use personal protective equipment,Avoid fried foods,"Antimalarials, Pain relievers"
Abdominal pain,Sore throat,Headache,Appendicitis or gastrointestinal issues,"Vaccinate, use insect repellent","Warm fluids, vitamin C-rich foods","Fiber supplements, Antispasmodics"
Vomiting,Joint pain,Shivering,Gastroenteritis or food poisoning,"Use mosquito repellent, avoid stagnant water","Protein-rich foods, avoid caffeine","Antimalarials, Pain relievers"
Redness,Persistent cough,Persistent cough,Allergic reaction or inflammation,"Avoid allergens, use hypoallergenic products",Eat antioxidant-rich foods,"Cough syrups, Bronchodilators"
Shivering,Abdominal pain,Congestion,Fever or infection,Use personal protective equipment,Avoid fried foods,"Iron supplements, B12 injections"
Dry cough,Abdominal pain,Sore throat,"Viral infection (e.g., cold or flu)",Avoid excessive exposure to sunlight,"Stay hydrated, avoid cold foods","Antibiotics, Pain relievers"
Dry cough,Nausea,High fever,"Viral infection (e.g., cold or flu)","Regular physical activity, maintain hygiene","High-fiber diet, avoid processed foods","Iron supplements, B12 injections"
Chest pain,Joint pain,Runny nose,Pneumonia or pulmonary embolism,"Regular physical activity, maintain hygiene","Eat hydrating foods, increase water intake","Migraine-specific pain relievers, Caffeine"
High fever,Congestion,Skin rash,"Severe infection (e.g., bacterial or viral)",Take prescribed antibiotics,"Stay hydrated, avoid cold foods","Oral rehydration, Antibiotics"
Dry cough,Sweating,Itching,"Viral infection (e.g., cold or flu)",Use personal protective equipment,"Protein-rich foods, avoid caffeine","Antiviral drugs, Rest"
Joint pain,Sweating,Congestion,Rheumatoid arthritis or viral infection,"Regular physical activity, maintain hygiene","Small, frequent meals, avoid spicy foods","Iron supplements, B12 injections"
Persistent cough,Runny nose,High fever,Chronic bronchitis or asthma,Use clean water and food,"Bland foods, hydration salts","Antimalarials, Pain relievers"
Persistent cough,Joint pain,Shortness of breath,Chronic bronchitis or asthma,Take prescribed antibiotics,Drink warm herbal teas,"Antiviral drugs, Rest"
Nausea,Runny nose,Fever,Gastroenteritis or migraine,"Use mosquito repellent, avoid stagnant water",Consume high-protein foods,"Paracetamol, Ibuprofen"
Vomiting,Abdominal pain,Bloating,Gastroenteritis or food poisoning,Wear protective clothing,Increase vitamin D and calcium intake,"Immunosuppressants, Anti-inflammatory drugs"
Fatigue,Bloating,Chest pain,Anemia or chronic fatigue syndrome,Wear protective clothing,Consume yogurt and fermented foods,"Immunosuppressants, Anti-inflammatory drugs"
High fever,Fever,High fever,"Severe infection (e.g., bacterial or viral)",Take prescribed antibiotics,"Protein-rich foods, avoid caffeine","Immunosuppressants, Anti-inflammatory drugs"
Persistent cough,Redness,Sensitivity to light,Chronic bronchitis or asthma,Wear protective clothing,Anti-inflammatory foods,"Chloroquine, Artemisinin-based combo therapy"
Bloating,Shivering,Blood in phlegm,Irritable bowel syndrome or gastrointestinal issues,Avoid public places if symptomatic,Consume high-protein foods,"Cough syrups, Bronchodilators"
Nausea,Muscle aches,Itching,Gastroenteritis or migraine,Wear protective clothing,"High-fiber diet, avoid processed foods","Decongestants, Nasal irrigation"
Blood in phlegm,Shortness of breath,Fatigue,Bronchitis or lung infection,Practice good hand hygiene,"Bland foods, hydration salts","Antiviral drugs, Rest"
Congestion,Joint pain,Redness,Sinusitis or upper respiratory infection,Wear protective clothing,"Soft foods, avoid cold beverages","Antivirals, Avoid alcohol"
Joint pains,Shortness of breath,Fever,Rheumatoid arthritis or viral infection,"Avoid allergens, use hypoallergenic products",Avoid sugars and junk food,"Oral rehydration, Antibiotics"
Headache,Persistent cough,Itching,Migraine or tension headache,"Wash hands frequently, wear a mask",Eat antioxidant-rich foods,"Immunosuppressants, Anti-inflammatory drugs"
Sensitivity to light,Congestion,Congestion,Migraine or meningitis,"Regular physical activity, maintain hygiene","High-fiber diet, avoid processed foods","Pain relievers, Antivirals"
